code,description,title
CS1,"The Department of Food Production (DFP), Faculty of Food and Agriculture, has adopted a comprehensive, systems-based approach to sustainable waste management through interdisciplinary research and applied projects that transform agricultural and food waste into value-added products for food production and environmental remediation. This paper presents a synthesis of ongoing and recently completed initiatives that align with circular economy principles and support low-emission, resource efficient agricultural systems in Small Island Developing States (SIDS).
A flagship project, supported by the Food and Agriculture Organization (FAO), investigates the valorization of post-consumer food waste through the mass rearing of the Black Soldier Fly (Hermetia illucens). The larvae are cultivated using segregated fruit and vegetable waste, with ongoing efforts to include institutional food waste streams such as those from university cafeterias. The resulting high protein larvae biomass is being evaluated as a sustainable alternative to soybean meal in broiler diets. Parallel studies are assessing its impact on microbial safety, carcass quality, and consumer acceptability, thereby demonstrating the feasibility of insect farming as a scalable, circular bioeconomy model for the Caribbean.
Complementary to this are vermicomposting initiatives which explore the decomposition of kitchen scraps and shredded paper using Eisenia fetida (red wiggler worms). These studies not only quantify vermicast yield and nutrient quality under different substrate ratios but also investigates the socio educational implications of promoting household-level waste recycling and its integration into urban agriculture systems.
A third initiative addresses poultry waste management through the production and utilization of poultry litter-derived biochar. Biochar is generated via slow pyrolysis of manure from intensive poultry operations and is currently being evaluated for its efficacy in improving soil physicochemical properties, enhancing nutrient use efficiency, and sequestering carbon. Field trials across vegetable cropping systems are supported by emissions profiling and life cycle assessment to determine the role of biochar in climate-smart agriculture and greenhouse gas mitigation.
Central to these waste valorisation strategies is the role of microorganisms in the decomposition of organic substrates. Microbial communities drive critical processes such as nutrient cycling and degradation. Previous research utilizing deep sequencing, not only provided unprecedented depth of microbial dynamics during the composting process but also identified fifteen new pathogens of biosafety concern. Future research will focus on the identification and monitoring of pathogenic organisms in composts to ensure that end-products meet biosecurity standards, safeguarding both human and environmental health.
Collectively, these initiatives underscore the Department s commitment to applied, interdisciplinary research that advances national and regional priorities in organic waste valorization, soil health restoration, and climate resilience. The integration of insect bioconversion, vermiculture, and biochar technologies highlights the potential for synergistic, locally adapted waste management models that contribute to more sustainable and regenerative food systems in the Caribbean.",From Waste to Worth: Harnessing Organic Waste Streams for Agricultural Sustainability and Climate Resilience
CS2,"The Caribbean faces an escalating crisis from massive Sargassum seaweed influxes reaching over 800 dump trucks per day on some beaches in Barbados in 2022. Rum and Sargassum Inc., a University of the West Indies spin-off, is transforming this environmental hazard into a renewable energy opportunity. By combining Sargassum with rum distillery wastewater and other local waste streams, the company produces biomethane fuel capable of powering conventional vehicles, supplying the national gas grid, and even supporting electricity and LNG exports. Since 2019, the team has advanced from lab-scale experiments to the landmark  Test Drive Zero  pilot demonstration, fueling vehicles with biogas in 2024, and recently secured $1.1M USD for a compressed natural gas (CNG) sales pilot in Barbados to expand adoption. The initiative is further strengthened by the development of a Sargassum Biomass Prediction App (SBPA), which integrates satellite data and drone-derived biomass estimations to guide harvesting and supply chain planning. This talk highlights the technical, and entrepreneurial innovations driving Rum and Sargassum Inc., and demonstrates how a Caribbean-led solution can deliver scalable climate resilience, sustainable transport, and global biofuel leadership.",Natural Gas from Renewable Local Waste
CS3,"In the past decade, Trinidad and Tobago have experienced rapid urbanisation. The development is characterised by a low population growth rate but a disproportionate increase in urbanised land. One of the reasons is that the islands experience a dispersed urban sprawl with a spread of low-density urban settlements. This pattern has resulted in a higher built-up area per capita compared to other CSIDS (ECLAC, 2024). At the same time, the islands have a high percentage of informal settlements. The twin-island state has one of the highest percentages of its population living in slums, 24.7%, after
Haiti (74.4%), Jamaica (60.5%), and Guyana (33.1%) (UN-Habitat, 2020). The presentation will highlight the SDG at the city level and will give insights from four pilot studies that provide valuable insights to address and plan for SDG11: Sustainable cities and communities.",Making Homes-Planning Sustainable Cities
CS4,"Globally, cities and communities continue to face progressively intensifying pressure associated with unsustainable consumption and production, particularly in the context of Small Island Developing States, where there is a linkage between high levels of urbanization and limited resources. This has resulted in the need to apply innovative urban planning principles in order to harness the potential of communities and assist them in overcoming challenges of waste generation, which are exacerbated by traditional linear practices. The concept of the circular economy (CE) within cities has gained
traction globally as a viable option to the prevailing linear economic model within the Caribbean, by removing the dependency of economic success on the availability of resources. However, in the unique context of these Small Island Developing States (SIDS) where a high level of informality and enduring legacy colonial elements persist, a scale mismatch exists where current global frameworks do not cater for the data shortages, underdeveloped infrastructure and the unique SIDS governance structures present within the Caribbean region.
This research seeks to address this gap by investigating the capacity of communities in Caribbean SIDS to function as circular municipalities in the context of solid waste management and material recovery/reuse, through development of an assessment framework which incorporates technical circular economy indicators with less studied social community-level indicators as key determinants of circular capacity. A case study approach was taken, assessing municipalities such as the informal community of East Port of Spain within Trinidad and Tobago, which provided a diverse range of results on
how formal and informal settlements mobilize knowledge and practices related to circularity, and why a tailored assessment framework is required to accurately assess and support successful and inclusive CE progressions across the unique region.",A FRAMEWORK FOR ASSESSING THE CIRCULAR CAPACITY OF COMMUNITIES WITHIN CARIBBEAN SMALL ISLAND DEVELOPING STATES (SIDS): A CASE STUDY OF TRINIDAD AND TOBAGO
CS5,"Concrete is the most widely used man-made material globally, contributing about 8% of anthropogenic CO? emissions. For every tonne of cement produced, approximately 0.9 tonnes of CO? are released. This study explores eco-material alternatives for Small Island Developing States (SIDS), with a focus on Trinidad and Tobago and its locally available resources. Investigated options include recycled aggregate concrete (RCA), blended cements with sargassum and mud volcano materials, and direct carbon capture. RCA was examined in detail as indicate that smart demolition is the most effective
strategy for maintaining strength and a sustainable alternative to demolition waste disposal, supporting the circular economy. In its absence, treatments such as acid washing and silica fume slurry can partially restore RCA performance. However, acid treatment may damage the RCA mortar bond and increase long-term shrinkage. This research demonstrates viable low-carbon pathways for concrete production in SIDS while highlighting some critical challenges for durability and performance. (SDGs: 9, 11, 12, 13, 14, 15)",Ecocrete: The Sustainable Concrete Alternative
CS6,"Teachers are integral to Education for Sustainable Development (ESD) given their first-hand interaction with students at all levels of the education system, and their potential to facilitate ESD competencies through its infusion into different subject areas and the pedagogies that they utilise in the classrooms. With this in mind, the ESD Working Group within the School of Education at The UWI Mona Campus comprises a multidisciplinary group of teacher educators focused on awareness raising, capacity-building and outreach amongst pre- and in-service teachers, as well as associated research to further practice in this area. This presentation will offer an overview of the Group and some highlights on their work in the areas of awareness raising, capacity-building and research to highlight how collaborative efforts such as these can further research and practice in ESD in teacher education.",The Education for Sustainable Development (ESD) Working Group: Furthering Research and Practice in Teacher Education
CS7,"Mainstreaming sustainability into higher education is not optional, it is central to the survival, resilience, and relevance of institutions in the 21st century. Higher Education Institutions (HEIs) must do more than produce graduates; they must cultivate a sustainability mindset that equips students with the knowledge, values, and agency to navigate and lead in a climate-impacted world. In doing so, they advance the UN Sustainable Development Goals (SDGs), particularly SDG 4 (Quality Education), SDG 16 (Strong Institutions), and SDG 17 (Partnerships). This presentation draws on the experience of The University of the West Indies (UWI), where the One UWI Responsible Futures Programme was established as a regional first. Adapted from international frameworks of the International Association of Universities (IAU) and Students Organising for Sustainability UK (SOS-UK), the programme was re-designed to reflect the Caribbean reality of small island developing states on the climate frontlines. The result is a Caribbean-grown model for sustainability integration that can also be tailored for secondary and even primary institutions.
Three critical lessons underpin this work: leadership must be visible and consistent; governance structures must embed sustainability institutionally; and students must be empowered as partners and co-creators, not passive beneficiaries. Through initiatives such as the ratification of a university-wide Sustainability Policy, a co-created student Sustainability Strategy, annual student audits, and groundbreaking actions like the University-wide Sustainability Teach-In, UWI has demonstrated that student-led, leadership-supported programmes can transform institutional culture. Recognition has been global, with UWI ranking among the top institutions worldwide for student engagement in sustainability. The key takeaway is clear: sustainability integration must be strategic, meaningful, and collaborative, while tailored to institutional context. For HEIs, mainstreaming sustainability is not just a programme, it is a long-term investment in student agency, curriculum relevance, institutional resilience, and global credibility. The institutions that embrace it will not only endure but lead.",Mainstreaming Sustainability into HEIs: Advancing Resilient Futures through a whole institution approach
CS8,"Solid waste management (SWM) in Caribbean Small Island Developing States has evolved dramatically since the late 1980s from manual collection on unpaved roads and inappropriate storage containers to targeted bans on single-use plastics and expanded deposit-refund systems. This presentation traces that history through vivid case studies: strained curbside services in 1987, rampant illegal dumping and coastal pollution by 1990, early reinforcement of derelict vehicles as artificial reefs, and the OECS Solid Waste Management Project s pilot cruise-ship waste fee. 
Contemporary highlights include Barbados  long-running Returnable Container Act, Trinidad and Tobago s iCARE recycling initiative, and the RePlast OECS voucher-based scheme in Saint Lucia. A survey of CARICOM states reveals wide variation in legislative frameworks Public Health and Litter Acts, styrofoam bans, statutory waste authorities and stark dependence on landfills nearing capacity. Fragmented policies, weak enforcement, and treaty ratifications without domestic follow-through underscore governance and institutional bottlenecks.
The presentation frames the circular-economy puzzle for Caribbean SIDS: design-out-waste principles clash with scant on-island processing, and small market scales thwart economical recycling and regeneration loops. Community engagement emerges as a bright spot private-sector partnerships, eco-resort initiatives, and household incentive programmes but inconsistent public policy dampens broader uptake. 
Financing realities are equally challenging: recycling ventures hinge on subsidies, donor grants, and limited deposit-return schemes, while transboundary recycling markets expose the region to shipping costs and regulatory risks. 
Concluding with  solutions beyond technology,  the session argues for enforceable legislation, coherent institutional mandates, sustainable financing models (levies, EPR schemes, PPPs), and deeper regional collaboration. By situating SWM within broader climate resilience and circular-economy frameworks, Caribbean states can shift from disposal-centric systems toward resilient, inclusive waste futures.",Towards Sustainable Solid Waste Management in the Caribbean
CS9,"Plastic pollution remains one of the most pressing global challenges, threatening ecosystems, human health, and the long-term sustainability of modern societies. At the same time, the Caribbean and Latin America have faced the recurring inundation of Sargassum natans, a brown seaweed that has accumulated along coastlines for more than a decade, disrupting marine life, tourism, and coastal economies. These two issues plastic waste and uncontrolled Sargassum blooms represent parallel environmental crises that demand innovative solutions. By recognising the alginate-rich composition of Sargassum, this research positions the seaweed not as a nuisance but as a valuable resource for bio-based plastic alternatives. Through its valorisation into biodegradable alginate composites, the study directly addresses both problems: reducing reliance on fossil-derived plastics while providing a sustainable pathway for utilling Sargassum biomass. This presentation will outline ongoing research focused on the extraction, optimization, and valorisation of alginate from Sargassum. It will highlight the use of advanced extraction and statistical optimization techniques to enhance yield and purity, the fabrication of alginate-based films, and the application of composite strategies to overcome limitations in mechanical and barrier properties. Additionally, the talk will discuss techno-economic perspectives on the feasibility of large-scale production, with particular attention to sustainability, cost competitiveness, and alignment with circular economy goals. Ultimately, the presentation will demonstrate the potential of Sargassum-derived bioplastics to reduce reliance on synthetic plastics, mitigate the environmental burden of Sargassum blooms, and contribute to sustainable packaging innovation in the Caribbean and beyond. Ultimately, this study demonstrates how Sargassumderived bioplastics can foster industry innovation (SDG 9), promote responsible consumption and production (SDG 12), support climate action through reduced carbon impacts (SDG 13), and protect life below water by mitigating plastic and seaweed pollution (SDG 14).",Turning the Tide: Sargassum Valorisation for Sustainable Bioplastic Innovation
CS10,"The (primary) processing of poultry leads to the production of inedible by-products such as eviscera and feathers. The industry generates large quantities of waste worldwide for which disposal is difficult. Based on this, valorisation of the inedible by-products (with emphasis on feather waste) has become a new and emerging area of study, especially given that raw feathers are relatively insoluble and have a low digestibility. This presentation briefly outlines the potential opportunities for the incorporation of raw feather particles and powder into a range of applications including composite building materials,
asphalt modifiers and biofertilizers, as well as outline the current research work being done on the extraction of keratin protein from feathers. Successful extraction of keratin can lead to the further conversion into a number of high-value bio-products such as biodegradable plastics, packaging trays and polymeric composite materials.
United Nations Sustainable Development Goals (SDGs) #9 Industry, Innovation and Infrastructure   Build resilient infrastructure and promote innovation",Valorisation of Poultry Feathers
